圖紙號碼,圖紙名稱,詳圖編號,目前詳圖名稱,信心,PDF頁碼,建議查核原因,類型名稱
ARB-D09002,施工大樣詳圖(二),3,混凝土地坪詳桔構,low,8,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09002-施工大樣詳圖(二)-混凝土地坪詳桔構
ARB-D09002,施工大樣詳圖(二),10,鋅格板板詳1,low,8,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09002-施工大樣詳圖(二)-鋅格板板詳1
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,2,停車空間名種指示圖,low,12,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-停車空間名種指示圖
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,1,扶壁式圓管烤杆阝圖1,low,14,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-扶壁式圓管烤杆阝圖1
ARB-D09011,輕隔間詳圖(二),1,依圖說厚度m纖維水泥板,low_note_like,17,低信心：內容像一般註記，可能不是詳圖名稱,ARB-D09011-輕隔間詳圖(二)-依圖說厚度m纖維水泥板
ARB-D09011,輕隔間詳圖(二),3,依圖說厚度1m土0·m纖維水泥板(複壁使用),low_note_like,17,低信心：內容像一般註記，可能不是詳圖名稱,ARB-D09011-輕隔間詳圖(二)-依圖說厚度1m土0·m纖維水泥板(複壁使用)
ARB-D09013,輕隔間詳圖(四),3,防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。,low_note_like,19,低信心：內容像一般註記，可能不是詳圖名稱,ARB-D09013-輕隔間詳圖(四)-防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。
ARB-D09013,輕隔間詳圖(四),5,T型轉角圖,low,19,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09013-輕隔間詳圖(四)-T型轉角圖
ARB-D09013,輕隔間詳圖(四),6,L型轉角圖,low,19,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09013-輕隔間詳圖(四)-L型轉角圖
ARB-D09013,輕隔間詳圖(四),10,輕隔間圖(四),low,19,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09013-輕隔間詳圖(四)-輕隔間圖(四)
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,4,"2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採",low_note_like,22,低信心：內容像一般註記，可能不是詳圖名稱,"ARB-D09016-鋁合金高架地板及防颱百葉詳圖-2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採"
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,8,用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣,low_note_like,22,低信心：內容像一般註記，可能不是詳圖名稱,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣
ARB-D09024,指標系統詳圖(一),"2,8-9",圖文內容面貼彩色光輸出,low,30,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09024-指標系統詳圖(一)-圖文內容面貼彩色光輸出
ARB-D09024,指標系統詳圖(一),5-6,圖文以膠膜切割貼附,low,30,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09024-指標系統詳圖(一)-圖文以膠膜切割貼附
ARB-D09025,指標系統詳圖(二),1,"文字圖案電腦切割鏤空處理,",low,31,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,"ARB-D09025-指標系統詳圖(二)-文字圖案電腦切割鏤空處理,"
ARB-D09025,指標系統詳圖(二),4,圖文以彩色反光貼貼附,low,31,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09025-指標系統詳圖(二)-圖文以彩色反光貼貼附
ARB-D09026,指標系統詳圖(三),1,圖文以膠膜電腦切割貼附,low,32,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09026-指標系統詳圖(三)-圖文以膠膜電腦切割貼附
ARB-D09026,指標系統詳圖(三),3,圖文以膠電腦切割貼附,low,32,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09026-指標系統詳圖(三)-圖文以膠電腦切割貼附
ARB-D09026,指標系統詳圖(三),4,圖文以電腦噴晝出,low,32,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09026-指標系統詳圖(三)-圖文以電腦噴晝出
ARB-D09026,指標系統詳圖(三),7,L壁式各樓層棸急逃生圖標示,low,32,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09026-指標系統詳圖(三)-L壁式各樓層棸急逃生圖標示
ARB-D09027,指標系統詳圖(四),1,圖文以白色反光貼紙貼附,low,33,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09027-指標系統詳圖(四)-圖文以白色反光貼紙貼附
ARB-D09027,指標系統詳圖(四),2,(1)安裝之確實位置依圖面現場監工人員之指示辦理。,low_note_like,33,低信心：內容像一般註記，可能不是詳圖名稱,ARB-D09027-指標系統詳圖(四)-(1)安裝之確實位置依圖面現場監工人員之指示辦理。
ARB-D09027,指標系統詳圖(四),3,圖文以彩色輸出,low,33,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09027-指標系統詳圖(四)-圖文以彩色輸出
ARB-D09028,FRP水箱詳圖(一),2,基礎精度圖,low,34,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09028-FRP水箱詳圖(一)-基礎精度圖
ARB-D09029,FRP水箱詳圖(二),2,基礎精度圖,low,35,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09029-FRP水箱詳圖(二)-基礎精度圖
ARB-D09032,防煙捲簾及捲門詳圖,8,自動防火連動裝置系統圖,low,38,低信心：名稱缺少常見詳圖/剖面/平面等關鍵字，或可能是 OCR 誤判,ARB-D09032-防煙捲簾及捲門詳圖-自動防火連動裝置系統圖
